position,strand,count_1,count_2,ratio,mt_freq_t1,mt_freq_t2,pop_freq_t1,pop_freq_t2,gene,D,W,nW
44,-/,7.84916782670748,0,0,2.10106183845203e-06,0,0.999997898938162,1,,431,0,0
55,+/,1.42712142303772,0,0,3.82011243354914e-07,0,0.999999617988757,1,,431,0,0
552,+/,0.713560711518861,0,0,1.91005621677457e-07,0,0.999999808994378,1,SP_0001,431,0,0
971,+/,0.713560711518861,0,0,1.91005621677457e-07,0,0.999999808994378,1,SP_0001,431,0,0
1209,+/,0.713560711518861,0,0,1.91005621677457e-07,0,0.999999808994378,1,SP_0001,431,0,0
1667,-/,0.713560711518861,0,0,1.91005621677457e-07,0,0.999999808994378,1,,431,0,0
1703,b/b,647.913126059126,479.470036294167,0.740022106374817,0.000173433104483131,0.00012834433129473,0.999826566895517,0.999871655668705,,431,0.950360581721045,0.97045435380202
1990,+/,0.713560711518861,0,0,1.91005621677457e-07,0,0.999999808994378,1,SP_0002,431,0,0
2414,+/,0.713560711518861,0,0,1.91005621677457e-07,0,0.999999808994378,1,SP_0002,431,0,0
2889,b/b,17.8390177879715,10.0237638249652,0.561901105997213,4.77514054193643e-06,2.68315675180621e-06,0.999995224859458,0.999997316843248,SP_0003,431,0.904975101467478,0.924109274093739
3156,b/b,77.064556844037,91.8845017288473,1.19230558757125,2.06286071411654e-05,2.45956035582236e-05,0.999979371392859,0.999975404396442,,431,1.02899601865025,1.05075240445651
3159,-/-,1121.00387779613,1271.34737846641,1.13411505851867,0.000300069831655285,0.000340313714687421,0.999699930168345,0.999659686285313,,431,1.02075362869803,1.04233574306639
3162,-/,0.713560711518861,0,0,1.91005621677457e-07,0,0.999999808994378,1,,431,0,0
3212,b/b,92.762892497452,98.5670109454908,1.0625693991614,2.48307308180694e-05,2.63843747260944e-05,0.999975169269182,0.999973615625274,SP_0004,431,1.01000501555,1.03135986861677
3410,+/,0.713560711518861,0,0,1.91005621677457e-07,0,0.999999808994378,1,SP_0004,431,0,0
3788,b/b,47.8085676717637,21.7181549540912,0.454273282211677,1.27973766523896e-05,5.81350629558013e-06,0.999987202623348,0.999994186493704,SP_0004,431,0.869922793560137,0.888315844238004
3823,+/,0.713560711518861,0,0,1.91005621677457e-07,0,0.999999808994378,1,SP_0004,431,0,0
3827,b/b,71.3560711518861,81.8607379038822,1.14721475807764,1.91005621677457e-05,2.19124468064174e-05,0.999980899437832,0.999978087553194,SP_0004,431,1.02264053471843,1.04426254453305
4062,+/,1.42712142303772,0,0,3.82011243354914e-07,0,0.999999617988757,1,SP_0004,431,0,0
4315,b/b,140.571460169216,70.1663467747561,0.499150728677727,3.76281074704591e-05,1.87820972626435e-05,0.99996237189253,0.999981217902737,,431,0.885451455077922,0.904172833120436
4773,-/,0.713560711518861,0,0,1.91005621677457e-07,0,0.999999808994378,1,SP_0005,431,0,0
4939,-/,0.713560711518861,0,0,1.91005621677457e-07,0,0.999999808994378,1,,431,0,0
4948,b/b,78.4916782670748,30.0712914748955,0.383114390452645,2.10106183845203e-05,8.04947025541864e-06,0.999978989381615,0.999991950529745,,431,0.841837210631678,0.859636439014113
4970,b/b,30.683110595311,23.388782258252,0.762268942244281,8.21324173213066e-06,6.26069908754783e-06,0.999991786758268,0.999993739300912,SP_0006,431,0.955250103668579,0.975447256446826
5058,b/b,146.993506572885,150.356457374477,1.02287822693667,3.93471580655562e-05,4.02473512770932e-05,0.999960652841934,0.999959752648723,SP_0006,431,1.00372913701534,1.02495129721236
5144,-/,0.713560711518861,0,0,1.91005621677457e-07,0,0.999999808994378,1,SP_0006,431,0,0
5361,+/,2.14068213455658,0,0,5.73016865032372e-07,0,0.999999426983135,1,SP_0006,431,0,0
5585,b/b,321.815880895007,245.582213711647,0.763114029763399,8.61435353765332e-05,6.57373404192522e-05,0.999913856464623,0.999934262659581,SP_0006,431,0.95542985654301,0.975630809892703
5625,+/+,18.5525784994904,6.68250921664344,0.36019301666488,4.96614616361389e-06,1.78877116787081e-06,0.999995033853836,0.999998211228832,SP_0006,431,0.831668367728624,0.849252593073737
5653,b/b,1.42712142303772,5.01188191248258,3.51188191248258,3.82011243354914e-07,1.34157837590311e-06,0.999999617988757,0.999998658421624,SP_0006,431,1.20707728758101,1.23259890155289
5794,b/b,74.9238747094805,50.1188191248258,0.66892988809192,2.0055590276133e-05,1.34157837590311e-05,0.999979944409724,0.999986584216241,SP_0006,431,0.933716607216138,0.953458470519902
