position,strand,count_1,count_2,ratio,mt_freq_t1,mt_freq_t2,pop_freq_t1,pop_freq_t2,gene,D,W,nW
55,b/+,178.372222991789,83.3694944212981,0.467390566888522,3.82129704374907e-05,1.78603819152731e-05,0.999961787029563,0.999982139618085,,314,0.867706434121301,0.879313053714346
56,+/,0.929021994748901,0,0,1.99025887695264e-07,0,0.999999800974112,1,,314,0,0
85,-/,0.929021994748901,0,0,1.99025887695264e-07,0,0.999999800974112,1,,314,0,0
142,-/,1.8580439894978,0,0,3.98051775390529e-07,0,0.999999601948225,1,,314,0,0
158,b/b,65.960561627172,17.3235313083217,0.262634684741456,1.41308380263638e-05,3.71124819018662e-06,0.999985869161974,0.99999628875181,,314,0.76745384361329,0.777719463951879
1059,-/,0.929021994748901,0,0,1.99025887695264e-07,0,0.999999800974112,1,SP_0001,314,0,0
1573,-/,0.929021994748901,0,0,1.99025887695264e-07,0,0.999999800974112,1,,314,0,0
1673,-/,0.929021994748901,0,0,1.99025887695264e-07,0,0.999999800974112,1,,314,0,0
1687,+/,0.929021994748901,0,0,1.99025887695264e-07,0,0.999999800974112,1,,314,0,0
1703,b/b,254.552026561199,245.777600436814,0.965529930195722,5.45330932285024e-05,5.26533336982727e-05,0.999945466906772,0.999947346666302,,314,0.993898478259279,1.00719306856959
2059,-/,0.929021994748901,0,0,1.99025887695264e-07,0,0.999999800974112,1,SP_0002,314,0,0
2122,-/,0.929021994748901,0,0,1.99025887695264e-07,0,0.999999800974112,1,SP_0002,314,0,0
2736,-/,0.929021994748901,0,0,1.99025887695264e-07,0,0.999999800974112,1,SP_0002,314,0,0
2916,+/,0.929021994748901,0,0,1.99025887695264e-07,0,0.999999800974112,1,SP_0003,314,0,0
2920,b/,3.7160879789956,0,0,7.96103550781057e-07,0,0.999999203896449,1,SP_0003,314,0,0
3156,+/,0.929021994748901,0,0,1.99025887695264e-07,0,0.999999800974112,1,,314,0,0
3159,-/-,892.790136953694,727.588314949511,0.814960072735714,0.000191263878075149,0.000155872423987838,0.999808736121925,0.999844127576012,,314,0.964404886643208,0.977304964610564
3212,b/b,329.80280813586,362.711436767985,1.09978274235485,7.06541901318188e-05,7.77042589820324e-05,0.999929345809868,0.999922295741018,SP_0004,314,1.01654432403897,1.03014182983658
3251,b/,2.7870659842467,0,0,5.97077663085793e-07,0,0.999999402922337,1,SP_0004,314,0,0
3410,-/+,2.7870659842467,2.16544141354021,0.77696094236014,5.97077663085793e-07,4.63906023773328e-07,0.999999402922337,0.999999536093976,SP_0004,314,0.956105744544602,0.968894811481615
3685,b/b,13.9353299212335,2.16544141354021,0.155392188472028,2.98538831542896e-06,4.63906023773328e-07,0.999997014611685,0.999999536093976,SP_0004,314,0.676173672756245,0.685218310769632
3788,-/,0.929021994748901,0,0,1.99025887695264e-07,0,0.999999800974112,1,SP_0004,314,0,0
